sleep_hours,sleep_quality,energy,stress,state,sub_state,primary_issue,secondary_issue,mean,spread,focus_axis,resource_band,template_key
1,1,1,1,emergency_recovery,,,,1,0,sleep,min,emergency_recovery
1,1,1,2,emergency_recovery,,,,1.25,1,sleep,min,emergency_recovery
1,1,1,3,emergency_recovery,,,,1.5,2,sleep,min,emergency_recovery
1,1,1,4,emergency_recovery,,,,1.75,3,sleep,min,emergency_recovery
1,1,1,5,emergency_recovery,,,,2,4,sleep,min,emergency_recovery
1,1,2,1,emergency_recovery,,,,1.25,1,sleep,min,emergency_recovery
1,1,2,2,emergency_recovery,,,,1.5,1,sleep,min,emergency_recovery
1,1,2,3,emergency_recovery,,,,1.75,2,sleep,min,emergency_recovery
1,1,2,4,emergency_recovery,,,,2,3,sleep,min,emergency_recovery
1,1,2,5,emergency_recovery,,,,2.25,4,sleep,min,emergency_recovery
1,1,3,1,emergency_recovery,,,,1.5,2,sleep,min,emergency_recovery
1,1,3,2,emergency_recovery,,,,1.75,2,sleep,min,emergency_recovery
1,1,3,3,emergency_recovery,,,,2,2,sleep,min,emergency_recovery
1,1,3,4,recovery,,,,2.25,3,sleep,min,recovery
1,1,3,5,recovery,,,,2.5,4,sleep,min,recovery
1,1,4,1,emergency_recovery,,,,1.75,3,sleep,min,emergency_recovery
1,1,4,2,emergency_recovery,,,,2,3,sleep,min,emergency_recovery
1,1,4,3,recovery,,,,2.25,3,sleep,min,recovery
1,1,4,4,recovery,,,,2.5,3,sleep,min,recovery
1,1,4,5,recovery,,,,2.75,4,sleep,min,recovery
1,1,5,1,emergency_recovery,,,,2,4,sleep,min,emergency_recovery
1,1,5,2,emergency_recovery,,,,2.25,4,sleep,min,emergency_recovery
1,1,5,3,recovery,,,,2.5,4,sleep,min,recovery
1,1,5,4,recovery,,,,2.75,4,sleep,min,recovery
1,1,5,5,mixed,mixed_severe,sleep_hours,sleep_quality,3,4,sleep,min,mixed_severe
1,2,1,1,emergency_recovery,,,,1.25,1,sleep,min,emergency_recovery
1,2,1,2,emergency_recovery,,,,1.5,1,sleep,min,emergency_recovery
1,2,1,3,emergency_recovery,,,,1.75,2,sleep,min,emergency_recovery
1,2,1,4,emergency_recovery,,,,2,3,sleep,min,emergency_recovery
1,2,1,5,emergency_recovery,,,,2.25,4,sleep,min,emergency_recovery
1,2,2,1,emergency_recovery,,,,1.5,1,sleep,min,emergency_recovery
1,2,2,2,emergency_recovery,,,,1.75,1,sleep,min,emergency_recovery
1,2,2,3,emergency_recovery,,,,2,2,sleep,min,emergency_recovery
1,2,2,4,emergency_recovery,,,,2.25,3,sleep,min,emergency_recovery
1,2,2,5,emergency_recovery,,,,2.5,4,sleep,min,emergency_recovery
1,2,3,1,emergency_recovery,,,,1.75,2,sleep,min,emergency_recovery
